url,tournament_name,tier,start_date,host_country
https://en.wikipedia.org/wiki/2012_Korea_Open_Super_Series_Premier,Korea Open Super Series Premier 2012,750,2012-01-03,South Korea
https://en.wikipedia.org/wiki/2012_Malaysia_Super_Series,Malaysia Open Super Series 2012,500,2012-01-10,Malaysia
https://en.wikipedia.org/wiki/2012_All_England_Super_Series_Premier,All England Super Series Premier 2012,750,2012-03-06,England
https://en.wikipedia.org/wiki/2012_India_Super_Series,India Open Super Series 2012,500,2012-04-24,India
https://en.wikipedia.org/wiki/2012_Indonesia_Super_Series_Premier,Indonesia Super Series Premier 2012,750,2012-06-12,Indonesia
https://en.wikipedia.org/wiki/2012_Singapore_Super_Series,Singapore Super Series 2012,500,2012-06-19,Singapore
https://en.wikipedia.org/wiki/2012_China_Masters_Super_Series,China Masters Super Series 2012,500,2012-09-11,China
https://en.wikipedia.org/wiki/2012_Japan_Super_Series,Japan Super Series 2012,500,2012-09-18,Japan
https://en.wikipedia.org/wiki/2012_Denmark_Super_Series_Premier,Denmark Super Series Premier 2012,750,2012-10-16,Denmark
https://en.wikipedia.org/wiki/2012_French_Super_Series,French Super Series 2012,500,2012-10-23,France
https://en.wikipedia.org/wiki/2012_China_Open_Super_Series_Premier,China Open Super Series Premier 2012,750,2012-11-13,China
https://en.wikipedia.org/wiki/2012_Hong_Kong_Super_Series,Hong Kong Super Series 2012,500,2012-11-20,Hong Kong
https://en.wikipedia.org/wiki/2012_BWF_Super_Series_Masters_Finals,Super Series Masters Finals 2012,1500,2012-12-12,China
https://en.wikipedia.org/wiki/2018_Thailand_Masters_(badminton),Thailand Masters 2018,300,2018-01-09,Thailand
https://en.wikipedia.org/wiki/2018_Malaysia_Masters,Malaysia Masters 2018,500,2018-01-16,Malaysia
https://en.wikipedia.org/wiki/2018_Indonesia_Masters,Indonesia Masters 2018,500,2018-01-23,Indonesia
https://en.wikipedia.org/wiki/2018_Swiss_Open_(badminton),Swiss Open 2018,300,2018-02-20,Switzerland
https://en.wikipedia.org/wiki/2018_German_Open_(badminton),German Open 2018,300,2018-03-06,Germany
https://en.wikipedia.org/wiki/2018_All_England_Open,All England Open 2018,1000,2018-03-14,England
https://en.wikipedia.org/wiki/2018_Lingshui_China_Masters,Lingshui China Masters 2018,100,2018-04-10,China
https://en.wikipedia.org/wiki/2018_New_Zealand_Open_(badminton),New Zealand Open 2018,300,2018-05-01,New Zealand
https://en.wikipedia.org/wiki/2018_Australian_Open_(badminton),Australian Open 2018,300,2018-05-08,Australia
https://en.wikipedia.org/wiki/2018_U.S._Open_(badminton),U.S. Open 2018,300,2018-06-12,United States
https://en.wikipedia.org/wiki/2018_Canada_Open_(badminton),Canada Open 2018,100,2018-06-19,Canada
https://en.wikipedia.org/wiki/2018_Indonesia_Open_(badminton),Indonesia Open 2018,1000,2018-07-03,Indonesia
https://en.wikipedia.org/wiki/2018_Thailand_Open_(badminton),Thailand Open 2018,500,2018-07-10,Thailand
https://en.wikipedia.org/wiki/2018_Singapore_Open_(badminton),Singapore Open 2018,500,2018-07-17,Singapore
https://en.wikipedia.org/wiki/2018_Akita_Masters,Akita Masters 2018,100,2018-07-24,Japan
https://en.wikipedia.org/wiki/2018_Vietnam_Open_(badminton),Vietnam Open 2018,100,2018-08-07,Vietnam
https://en.wikipedia.org/wiki/2018_Hyderabad_Open_(badminton),Hyderabad Open 2018,100,2018-09-04,India
https://en.wikipedia.org/wiki/2018_Japan_Open_(badminton),Japan Open 2018,750,2018-09-11,Japan
https://en.wikipedia.org/wiki/2018_China_Open_(badminton),China Open 2018,1000,2018-09-18,China
https://en.wikipedia.org/wiki/2018_Korea_Open_(badminton),Korea Open 2018,500,2018-09-25,South Korea
https://en.wikipedia.org/wiki/2018_Chinese_Taipei_Open,Chinese Taipei Open 2018,300,2018-10-02,Taiwan
https://en.wikipedia.org/wiki/2018_Dutch_Open_(badminton),Dutch Open 2018,100,2018-10-09,Netherlands
https://en.wikipedia.org/wiki/2018_Denmark_Open,Denmark Open 2018,750,2018-10-16,Denmark
https://en.wikipedia.org/wiki/2018_French_Open_(badminton),French Open 2018,750,2018-10-23,France
https://en.wikipedia.org/wiki/2018_Fuzhou_China_Open,Fuzhou China Open 2018,750,2018-11-06,China
https://en.wikipedia.org/wiki/2018_Hong_Kong_Open_(badminton),Hong Kong Open 2018,500,2018-11-13,Hong Kong
https://en.wikipedia.org/wiki/2018_Syed_Modi_International,Syed Modi International 2018,300,2018-11-20,India
https://en.wikipedia.org/wiki/2018_BWF_World_Tour_Finals,BWF World Tour Finals 2018,1500,2018-12-12,China
https://en.wikipedia.org/wiki/2022_India_Open_(badminton),India Open 2022,500,2022-01-11,India
https://en.wikipedia.org/wiki/2022_Syed_Modi_International,Syed Modi International 2022,300,2022-01-18,India
https://en.wikipedia.org/wiki/2022_Odisha_Open,Odisha Open 2022,100,2022-01-25,India
https://en.wikipedia.org/wiki/2022_German_Open_(badminton),German Open 2022,300,2022-03-08,Germany
https://en.wikipedia.org/wiki/2022_All_England_Open,All England Open 2022,1000,2022-03-16,England
https://en.wikipedia.org/wiki/2022_Swiss_Open_(badminton),Swiss Open 2022,300,2022-03-22,Switzerland
https://en.wikipedia.org/wiki/2022_Orl%C3%A9ans_Masters,Orléans Masters 2022,100,2022-03-29,France
https://en.wikipedia.org/wiki/2022_Korea_Open_(badminton),Korea Open 2022,500,2022-04-05,South Korea
https://en.wikipedia.org/wiki/2022_Korea_Masters,Korea Masters 2022,300,2022-04-12,South Korea
https://en.wikipedia.org/wiki/2022_Thailand_Open_(badminton),Thailand Open 2022,500,2022-05-17,Thailand
https://en.wikipedia.org/wiki/2022_Indonesia_Masters,Indonesia Masters 2022,500,2022-06-07,Indonesia
https://en.wikipedia.org/wiki/2022_Indonesia_Open,Indonesia Open 2022,1000,2022-06-14,Indonesia
https://en.wikipedia.org/wiki/2022_Malaysia_Open_(badminton),Malaysia Open 2022,750,2022-06-28,Malaysia
https://en.wikipedia.org/wiki/2022_Malaysia_Masters,Malaysia Masters 2022,500,2022-07-05,Malaysia
https://en.wikipedia.org/wiki/2022_Singapore_Open_(badminton),Singapore Open 2022,500,2022-07-12,Singapore
https://en.wikipedia.org/wiki/2022_Taipei_Open,Taipei Open 2022,300,2022-07-19,Taiwan
https://en.wikipedia.org/wiki/2022_Japan_Open,Japan Open 2022,750,2022-08-30,Japan
https://en.wikipedia.org/wiki/2022_Vietnam_Open,Vietnam Open 2022,100,2022-09-27,Vietnam
https://en.wikipedia.org/wiki/2022_Denmark_Open,Denmark Open 2022,750,2022-10-18,Denmark
https://en.wikipedia.org/wiki/2022_French_Open_(badminton),French Open 2022,750,2022-10-25,France
https://en.wikipedia.org/wiki/2022_Hylo_Open,Hylo Open 2022,300,2022-11-01,Germany
https://en.wikipedia.org/wiki/2022_Australian_Open_(badminton),Australian Open 2022,300,2022-11-15,Australia
https://en.wikipedia.org/wiki/2022_BWF_World_Tour_Finals,BWF World Tour Finals 2022,1500,2022-12-07,Thailand[b]
